FULL NAME,GAME_ID,TEAM_ABBRV,CONF,DIVISION,SHOT_CAT,prediction,shot_pt,prob_made,xP,pts
Jusuf Nurkic,22100862,POR,West,Northwest,0,0,2,0.327592285,0.655184571,0
Jrue Holiday,22100862,MIL,East,Central,0,0,3,0.394251348,1.182754043,0
Bobby Portis,22100862,MIL,East,Central,0,1,2,0.649694512,1.299389025,0
Anfernee Simons,22100862,POR,West,Northwest,0,0,3,0.37397735,1.12193205,0
Khris Middleton,22100862,MIL,East,Central,0,0,3,0.364939862,1.094819586,0
Jusuf Nurkic,22100862,POR,West,Northwest,1,0,3,0.335272127,1.005816382,3
Anfernee Simons,22100862,POR,West,Northwest,0,0,3,0.355724867,1.067174601,0
Bobby Portis,22100862,MIL,East,Central,1,1,2,0.597282977,1.194565953,2
CJ Elleby,22100862,POR,West,Northwest,0,0,2,0.461422391,0.922844781,0
Jrue Holiday,22100862,MIL,East,Central,1,1,2,0.548253137,1.096506275,2
Jusuf Nurkic,22100862,POR,West,Northwest,1,0,2,0.48327225,0.966544501,2
Grayson Allen,22100862,MIL,East,Central,0,0,3,0.365707201,1.097121604,0
Bobby Portis,22100862,MIL,East,Central,1,0,2,0.410038114,0.820076227,2
Bobby Portis,22100862,MIL,East,Central,0,0,3,0.369749994,1.109249983,0
Jusuf Nurkic,22100862,POR,West,Northwest,1,1,2,0.947444523,1.894889046,2
Jordan Nwora,22100862,MIL,East,Central,1,0,3,0.303005101,0.909015302,3
Anfernee Simons,22100862,POR,West,Northwest,0,0,3,0.355724867,1.067174601,0
CJ Elleby,22100862,POR,West,Northwest,1,0,2,0.410942778,0.821885557,2
Jrue Holiday,22100862,MIL,East,Central,1,0,3,0.425845722,1.277537166,3
Jrue Holiday,22100862,MIL,East,Central,0,1,2,0.548253137,1.096506275,0
Jordan Nwora,22100862,MIL,East,Central,0,0,2,0.481381534,0.962763068,0
Anfernee Simons,22100862,POR,West,Northwest,1,0,2,0.406521717,0.813043435,2
Ben McLemore,22100862,POR,West,Northwest,0,0,3,0.347792649,1.043377947,0
Khris Middleton,22100862,MIL,East,Central,1,0,2,0.435173443,0.870346886,2
Khris Middleton,22100862,MIL,East,Central,0,0,2,0.476451749,0.952903498,0
Ben McLemore,22100862,POR,West,Northwest,0,0,3,0.453935695,1.361807085,0
Jordan Nwora,22100862,MIL,East,Central,1,1,2,0.626515047,1.253030095,2
Ben McLemore,22100862,POR,West,Northwest,0,0,2,0.338425979,0.676851958,0
Jordan Nwora,22100862,MIL,East,Central,1,0,3,0.363688178,1.091064533,3
Ben McLemore,22100862,POR,West,Northwest,1,0,3,0.347792649,1.043377947,3
Khris Middleton,22100862,MIL,East,Central,0,0,2,0.378294661,0.756589323,0
Grayson Allen,22100862,MIL,East,Central,1,0,3,0.365707201,1.097121604,3
Bobby Portis,22100862,MIL,East,Central,1,0,3,0.327261635,0.981784906,3
Bobby Portis,22100862,MIL,East,Central,0,0,3,0.37390956,1.12172868,0
Ben McLemore,22100862,POR,West,Northwest,0,0,3,0.347792649,1.043377947,0
Bobby Portis,22100862,MIL,East,Central,0,0,2,0.413258619,0.826517238,0
Ben McLemore,22100862,POR,West,Northwest,0,1,2,0.667780499,1.335560998,0
Ben McLemore,22100862,POR,West,Northwest,0,0,3,0.363881777,1.09164533,0
Khris Middleton,22100862,MIL,East,Central,0,0,3,0.362308021,1.086924064,0
Bobby Portis,22100862,MIL,East,Central,1,1,2,0.673017983,1.346035967,2
Grayson Allen,22100862,MIL,East,Central,1,0,3,0.371152949,1.113458848,3
Grayson Allen,22100862,MIL,East,Central,0,0,3,0.368502302,1.105506905,0
Anfernee Simons,22100862,POR,West,Northwest,1,0,3,0.355724867,1.067174601,3
Bobby Portis,22100862,MIL,East,Central,1,1,2,0.521565595,1.043131191,2
Anfernee Simons,22100862,POR,West,Northwest,1,0,2,0.351574643,0.703149285,2
Jordan Nwora,22100862,MIL,East,Central,0,0,3,0.307970493,0.923911478,0
Jrue Holiday,22100862,MIL,East,Central,0,0,3,0.383491526,1.150474578,0
CJ Elleby,22100862,POR,West,Northwest,0,0,2,0.461422391,0.922844781,0
Bobby Portis,22100862,MIL,East,Central,0,1,2,0.507375371,1.014750742,0
CJ Elleby,22100862,POR,West,Northwest,1,0,2,0.460311003,0.920622005,2
Anfernee Simons,22100862,POR,West,Northwest,0,0,3,0.355724867,1.067174601,0
Khris Middleton,22100862,MIL,East,Central,1,0,3,0.359533156,1.078599467,3
Jordan Nwora,22100862,MIL,East,Central,0,1,2,0.638601903,1.277203806,0
Khris Middleton,22100862,MIL,East,Central,0,0,3,0.364939862,1.094819586,0
Jrue Holiday,22100862,MIL,East,Central,0,1,2,0.640785183,1.281570367,0
Anfernee Simons,22100862,POR,West,Northwest,1,0,3,0.425306587,1.275919762,3
Jrue Holiday,22100862,MIL,East,Central,0,0,2,0.396591863,0.793183726,0
Anfernee Simons,22100862,POR,West,Northwest,1,0,3,0.37116513,1.11349539,3
Khris Middleton,22100862,MIL,East,Central,0,0,2,0.417966104,0.835932207,0
Anfernee Simons,22100862,POR,West,Northwest,1,0,3,0.355724867,1.067174601,3
Jrue Holiday,22100862,MIL,East,Central,1,1,2,0.548253137,1.096506275,2
Khris Middleton,22100862,MIL,East,Central,1,0,2,0.475143823,0.950287646,2
Anfernee Simons,22100862,POR,West,Northwest,0,0,2,0.489776488,0.979552976,0
Grayson Allen,22100862,MIL,East,Central,0,0,3,0.365707201,1.097121604,0
Anfernee Simons,22100862,POR,West,Northwest,1,1,2,0.515024881,1.030049762,2
Jrue Holiday,22100862,MIL,East,Central,1,1,2,0.50295689,1.00591378,2
CJ Elleby,22100862,POR,West,Northwest,0,0,3,0.291164715,0.873494145,0
Khris Middleton,22100862,MIL,East,Central,0,0,3,0.338273978,1.014821935,0
Bobby Portis,22100862,MIL,East,Central,0,1,2,0.505354878,1.010709757,0
Jusuf Nurkic,22100862,POR,West,Northwest,1,0,3,0.335272127,1.005816382,3
Khris Middleton,22100862,MIL,East,Central,0,0,2,0.435173443,0.870346886,0
Grayson Allen,22100862,MIL,East,Central,1,0,3,0.394933099,1.184799298,3
